"";"mun";"year";"age_group";"pop";"FXET"
"146";"110009";2019;"From 5 to 9 years";2482;"02"
"147";"110009";2019;"From 50 to 54 years";1851;"11"
"148";"110009";2019;"From 55 to 59 years";1560;"12"
"149";"110009";2019;"From 60 to 64 years";1244;"13"
"150";"110009";2019;"From 65 to 69 years";863;"14"
"151";"110009";2019;"From 70 to 74 years";585;"15"
"152";"110009";2019;"From 75 to 79 years";369;"16"
"153";"110009";2019;"From 80 years or more";360;"17"
"154";"110010";2019;"From 0 to 4 years";4373;"01"
"155";"110010";2019;"From 10 to 14 years";4195;"03"
"156";"110010";2019;"From 15 to 19 years";4313;"04"
"157";"110010";2019;"From 20 to 24 years";4111;"05"
"158";"110010";2019;"From 25 to 29 years";3906;"06"
"159";"110010";2019;"From 30 to 34 years";3577;"07"
"160";"110010";2019;"From 35 to 39 years";3386;"08"
"161";"110010";2019;"From 40 to 44 years";3095;"09"
"162";"110010";2019;"From 45 to 49 years";2697;"10"
"163";"110010";2019;"From 5 to 9 years";4168;"02"
"164";"110010";2019;"From 50 to 54 years";2347;"11"
"165";"110010";2019;"From 55 to 59 years";1935;"12"
"166";"110010";2019;"From 60 to 64 years";1364;"13"
"167";"110010";2019;"From 65 to 69 years";1024;"14"
"168";"110010";2019;"From 70 to 74 years";728;"15"
"169";"110010";2019;"From 75 to 79 years";439;"16"
"170";"110010";2019;"From 80 years or more";516;"17"
"171";"110011";2019;"From 0 to 4 years";3903;"01"
"172";"110011";2019;"From 10 to 14 years";3928;"03"
"173";"110011";2019;"From 15 to 19 years";4352;"04"
"174";"110011";2019;"From 20 to 24 years";4394;"05"
"175";"110011";2019;"From 25 to 29 years";4409;"06"
"176";"110011";2019;"From 30 to 34 years";4478;"07"
"177";"110011";2019;"From 35 to 39 years";4461;"08"
"178";"110011";2019;"From 40 to 44 years";3834;"09"
"179";"110011";2019;"From 45 to 49 years";3261;"10"
"180";"110011";2019;"From 5 to 9 years";3778;"02"
"181";"110011";2019;"From 50 to 54 years";2892;"11"
"182";"110011";2019;"From 55 to 59 years";2375;"12"
"183";"110011";2019;"From 60 to 64 years";1910;"13"
"184";"110011";2019;"From 65 to 69 years";1424;"14"
"185";"110011";2019;"From 70 to 74 years";977;"15"
"186";"110011";2019;"From 75 to 79 years";666;"16"
"187";"110011";2019;"From 80 years or more";733;"17"
"188";"110012";2019;"From 0 to 4 years";9400;"01"
"189";"110012";2019;"From 10 to 14 years";9996;"03"
"190";"110012";2019;"From 15 to 19 years";10633;"04"
"191";"110012";2019;"From 20 to 24 years";10768;"05"
"192";"110012";2019;"From 25 to 29 years";11258;"06"
"193";"110012";2019;"From 30 to 34 years";11251;"07"
"194";"110012";2019;"From 35 to 39 years";10685;"08"
"195";"110012";2019;"From 40 to 44 years";9368;"09"
"196";"110012";2019;"From 45 to 49 years";8411;"10"
"197";"110012";2019;"From 5 to 9 years";9356;"02"
"198";"110012";2019;"From 50 to 54 years";7658;"11"
"199";"110012";2019;"From 55 to 59 years";6474;"12"
"200";"110012";2019;"From 60 to 64 years";5000;"13"
"201";"110012";2019;"From 65 to 69 years";3547;"14"
"202";"110012";2019;"From 70 to 74 years";2233;"15"
"203";"110012";2019;"From 75 to 79 years";1413;"16"
"204";"110012";2019;"From 80 years or more";1518;"17"
"205";"110013";2019;"From 0 to 4 years";3669;"01"
"206";"110013";2019;"From 10 to 14 years";3387;"03"
"207";"110013";2019;"From 15 to 19 years";3458;"04"
"208";"110013";2019;"From 20 to 24 years";3476;"05"
"209";"110013";2019;"From 25 to 29 years";3385;"06"
"210";"110013";2019;"From 30 to 34 years";3160;"07"
"211";"110013";2019;"From 35 to 39 years";3219;"08"
"212";"110013";2019;"From 40 to 44 years";2921;"09"
"213";"110013";2019;"From 45 to 49 years";2429;"10"
"214";"110013";2019;"From 5 to 9 years";3485;"02"
"215";"110013";2019;"From 50 to 54 years";2101;"11"
"216";"110013";2019;"From 55 to 59 years";1699;"12"
"217";"110013";2019;"From 60 to 64 years";1345;"13"
"218";"110013";2019;"From 65 to 69 years";975;"14"
"219";"110013";2019;"From 70 to 74 years";604;"15"
"220";"110013";2019;"From 75 to 79 years";375;"16"
"221";"110013";2019;"From 80 years or more";303;"17"
"222";"110014";2019;"From 0 to 4 years";1476;"01"
"223";"110014";2019;"From 10 to 14 years";1438;"03"
"224";"110014";2019;"From 15 to 19 years";1626;"04"
"225";"110014";2019;"From 20 to 24 years";1766;"05"
"226";"110014";2019;"From 25 to 29 years";1810;"06"
"227";"110014";2019;"From 30 to 34 years";1581;"07"
"228";"110014";2019;"From 35 to 39 years";1642;"08"
"229";"110014";2019;"From 40 to 44 years";1627;"09"
"230";"110014";2019;"From 45 to 49 years";1478;"10"
"231";"110014";2019;"From 5 to 9 years";1405;"02"
"232";"110014";2019;"From 50 to 54 years";1233;"11"
"233";"110014";2019;"From 55 to 59 years";1063;"12"
"234";"110014";2019;"From 60 to 64 years";839;"13"
"235";"110014";2019;"From 65 to 69 years";584;"14"
"236";"110014";2019;"From 70 to 74 years";413;"15"
"237";"110014";2019;"From 75 to 79 years";255;"16"
"238";"110014";2019;"From 80 years or more";238;"17"
"239";"110015";2019;"From 0 to 4 years";2550;"01"
"240";"110015";2019;"From 10 to 14 years";2636;"03"
"241";"110015";2019;"From 15 to 19 years";2850;"04"
"242";"110015";2019;"From 20 to 24 years";2952;"05"
"243";"110015";2019;"From 25 to 29 years";3008;"06"
"244";"110015";2019;"From 30 to 34 years";3039;"07"
"245";"110015";2019;"From 35 to 39 years";2955;"08"
"246";"110015";2019;"From 40 to 44 years";2589;"09"
"247";"110015";2019;"From 45 to 49 years";2344;"10"
"248";"110015";2019;"From 5 to 9 years";2520;"02"
"249";"110015";2019;"From 50 to 54 years";2267;"11"
"250";"110015";2019;"From 55 to 59 years";1958;"12"
"251";"110015";2019;"From 60 to 64 years";1454;"13"
"252";"110015";2019;"From 65 to 69 years";1080;"14"
"253";"110015";2019;"From 70 to 74 years";766;"15"
"254";"110015";2019;"From 75 to 79 years";520;"16"
"255";"110015";2019;"From 80 years or more";547;"17"
"256";"110018";2019;"From 0 to 4 years";2675;"01"
